date,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source,orders_n,revenue_net,conversion_rate,AOV
2013-01-01,9760,7253,39093,0.00514,102.9,organic_search,80.0,1501578.07,0.00819672131147541,18769.725875
2013-01-02,10456,8151,47611,0.00406,120.5,organic_search,18.0,766660.48,0.0017214996174445293,42592.24888888889
2013-01-03,10076,7458,36963,0.00401,263.6,direct,4.0,167151.91,0.0003969829297340214,41787.9775
2013-01-04,9973,8063,53078,0.00562,151.8,direct,5.0,130838.23000000001,0.000501353654868144,26167.646
2013-01-05,10223,7882,36790,0.00525,168.6,referral,8.0,258038.0,0.0007825491538687273,32254.75
2013-01-06,9545,6992,47160,0.00438,263.6,social_media,18.0,561389.4,0.0018858040859088528,31188.300000000003
2013-01-07,10203,7354,32749,0.00443,252.1,organic_search,31.0,783239.1699999999,0.003038322062138587,25265.779677419352
2013-01-08,9456,7459,31482,0.0044,192.4,paid_search,20.0,391454.32,0.0021150592216582064,19572.716
2013-01-09,9162,7108,46717,0.00409,312.8,organic_search,20.0,472313.68,0.0021829294913774284,23615.684
2013-01-10,9887,7878,38472,0.00544,285.4,organic_search,19.0,732652.89,0.0019217153838373621,38560.67842105263
2013-01-11,9412,7368,46916,0.00356,238.2,social_media,11.0,246806.58000000002,0.0011687207819804505,22436.96181818182
2013-01-12,8730,6136,33336,0.00386,193.3,paid_search,24.0,661139.5,0.0027491408934707906,27547.479166666668
2013-01-13,8818,6863,35427,0.00372,308.8,paid_search,23.0,668303.59,0.0026083012020866408,29056.677826086954
2013-01-14,8230,6203,35402,0.004,301.5,paid_search,32.0,581866.19,0.003888213851761847,18183.3184375
2013-01-15,8102,6179,39490,0.00445,314.0,direct,6.0,194718.83000000002,0.0007405578869414959,32453.138333333336
2013-01-16,9373,7503,37034,0.00446,284.4,paid_search,19.0,483125.01,0.002027099114477755,25427.632105263157
2013-01-17,9819,7503,48840,0.00495,162.5,social_media,13.0,272091.66000000003,0.0013239637437620938,20930.127692307695
2013-01-18,10041,7821,35761,0.00509,182.0,email_campaign,14.0,355391.4,0.0013942834379045911,25385.100000000002
2013-01-19,8746,6138,33440,0.00546,223.1,organic_search,27.0,657797.06,0.0030871255431054196,24362.854074074075
2013-01-20,10270,8030,35184,0.00501,283.9,email_campaign,9.0,190122.29,0.0008763388510223953,21124.698888888888
2013-01-21,10339,8283,40661,0.00429,152.6,paid_search,39.0,992774.24,0.0037721249637295675,25455.749743589742
2013-01-22,10100,7469,39597,0.00504,250.0,email_campaign,17.0,392820.6,0.0016831683168316831,23107.09411764706
2013-01-23,9307,7261,39117,0.00451,243.9,referral,14.0,361230.13,0.0015042441173310412,25802.152142857143
2013-01-24,9698,7034,36976,0.00503,144.4,organic_search,36.0,854274.23,0.003712105588781192,23729.839722222223
2013-01-25,10600,7868,42453,0.00385,195.6,email_campaign,21.0,310255.81,0.001981132075471698,14774.08619047619
2013-01-26,10226,8004,42655,0.00566,245.5,organic_search,23.0,470757.6,0.002249168785448856,20467.721739130433
2013-01-27,8604,6327,44601,0.00554,222.6,referral,14.0,250797.3,0.0016271501627150163,17914.092857142856
2013-01-28,9701,7636,51697,0.00447,258.0,direct,15.0,387283.65,0.001546232347180703,25818.91
2013-01-29,8638,6928,42663,0.00329,299.3,email_campaign,25.0,470214.04000000004,0.0028941884695531375,18808.5616
